                                                        Virus Total Verification Report
============================================================================================================================================
S.No  | Index      | URL                                      | Actual Label    | VirusTotal Label     |    Status    | Analysis Timestamp
--------------------------------------------------------------------------------------------------------------------------------------------
1     | 458119     | vehiculepress.com/montreal/writers/richl | good            | good                 | Match        | 2025-03-05 00:19:04
2     | 114100     | hfmacabados.com/verify-boainfps/bank-acc | bad             | good                 | Not Match    | 2025-03-05 00:20:07
3     | 230060     | pix.eosphotoman.com/                     | good            | good                 | Match        | 2025-03-05 00:21:09
4     | 7135       | 'www.gswzmb.com/down/js/?us.battle.net/l | bad             | bad                  | Match        | 2025-03-05 00:22:11
5     | 518747     | torosakiskan.com/modules/telekom/telekom | bad             | good                 | Not Match    | 2025-03-05 00:23:13
6     | 153573     | btjunkie.org/torrent/Stolen-Babies-There | good            | good                 | Match        | 2025-03-05 00:24:15
7     | 175084     | en.wikipedia.org/wiki/Getchell_Mine      | good            | good                 | Match        | 2025-03-05 00:25:18
8     | 224575     | ottenheim.cdlex.org/                     | good            | good                 | Match        | 2025-03-05 00:26:20
9     | 52628      | www.bus.wisc.edu/ASRMI/                  | good            | good                 | Match        | 2025-03-05 00:27:23
10    | 199841     | illicoweb.videotron.com/illicoweb/channe | good            | good                 | Match        | 2025-03-05 00:28:26
11    | 482804     | litigation-essentials.lexisnexis.com/web | good            | good                 | Match        | 2025-03-05 00:29:28
12    | 108673     | parsstone.co.nz/libraries/g_doc/index.ph | bad             | good                 | Not Match    | 2025-03-05 00:30:31
13    | 502094     | goo.gl/3Tbbby                            | bad             | good                 | Not Match    | 2025-03-05 00:31:33
14    | 228601     | pipl.com/directory/name/Doherty/Charles  | good            | good                 | Match        | 2025-03-05 00:32:36
15    | 442036     | tcm.com/tcmdb/title/75310/Footlight-Sere | good            | good                 | Match        | 2025-03-05 00:33:38
16    | 460074     | viptickets.com/Sport/Golden-State-Warrio | good            | good                 | Match        | 2025-03-05 00:34:41
17    | 232602     | qc.allpages.com/longueuil/business-servi | good            | good                 | Match        | 2025-03-05 00:35:44
18    | 519468     | mxp2131.com                              | bad             | good                 | Not Match    | 2025-03-05 00:36:47
19    | 532852     | brothermalw.ws/06qbbzy7                  | bad             | good                 | Not Match    | 2025-03-05 00:37:49
20    | 497236     | seyhocacm.assistkd.com/behave/silent-twi | bad             | good                 | Not Match    | 2025-03-05 00:38:52
21    | 75935      | www.techbookreport.com/JavaIndex.html    | good            | good                 | Match        | 2025-03-05 00:39:55
22    | 272283     | allposters.com/-st/Clarence-Alphonse-Gag | good            | good                 | Match        | 2025-03-05 00:40:58
23    | 445946     | thepeerage.com/p2110.htm                 | good            | good                 | Match        | 2025-03-05 00:42:01
24    | 377101     | linkedin.com/pub/james-tanabe/25/b37/8b2 | good            | good                 | Match        | 2025-03-05 00:43:03
25    | 164549     | devilman-fightandfear.blogspot.com/      | good            | good                 | Match        | 2025-03-05 00:44:06
26    | 151638     | bluegrassmusic.com/content/reviews/      | good            | good                 | Match        | 2025-03-05 00:45:09
27    | 433980     | songmeanings.net/songs/view/353082210785 | good            | good                 | Match        | 2025-03-05 00:46:12
28    | 238978     | shop.thesmartresult.org/index.php?keywor | good            | good                 | Match        | 2025-03-05 00:52:47
29    | 39619      | www.batl-zq.tk/cert/                     | bad             | good                 | Not Match    | 2025-03-05 00:53:52
30    | 314440     | digitalforsyth.org/photos/browse/people- | good            | good                 | Match        | 2025-03-05 00:54:56
31    | 21103      | www.kangluchunjiuye.com/images/?us.battl | bad             | good                 | Not Match    | 2025-03-05 00:56:01
32    | 309239     | corporationwiki.com/Alabama/Lexington/sn | good            | good                 | Match        | 2025-03-05 00:57:13
33    | 164587     | dfchurch.com/index.php?option=com_conten | good            | good                 | Match        | 2025-03-05 00:58:17
34    | 534972     | powertransact-exch.net/documents/Onholdi | bad             | good                 | Not Match    | 2025-03-05 00:59:19
35    | 90234      | hem.passagen.se/larspp/                  | good            | good                 | Match        | 2025-03-05 01:00:22
36    | 518546     | xstsa3.bimowamokykpps.com/tpo5qux8th\nww | bad             | good                 | Not Match    | 2025-03-05 01:01:25
37    | 361279     | in2greece.com/english/animals_plants/ani | good            | good                 | Match        | 2025-03-05 01:02:29
38    | 343768     | g4tv.com/thefeed/blog/post/710351/jade-r | good            | good                 | Match        | 2025-03-05 01:03:33
39    | 402405     | ncaa.com/championships/basketball-women/ | good            | good                 | Match        | 2025-03-05 01:04:36
40    | 424227     | roclatie.com/                            | good            | good                 | Match        | 2025-03-05 01:05:41
41    | 119256     | higieneclinicahospitalaria.com/errors/fr | bad             | good                 | Not Match    | 2025-03-05 01:06:43
42    | 525192     | mohammedaltememi97.ddns.net/             | bad             | good                 | Not Match    | 2025-03-05 01:07:44
43    | 128741     | encurtado.com/hUCYm                      | bad             | good                 | Not Match    | 2025-03-05 01:08:48
44    | 216775     | mp3songs4me.blogspot.com/2009/03/main-kh | good            | good                 | Match        | 2025-03-05 01:09:50
45    | 141381     | algeriatorrent.blogspot.com/2011/03/tele | good            | good                 | Match        | 2025-03-05 01:10:53
46    | 206573     | latimesblogs.latimes.com/varsitytimesins | good            | good                 | Match        | 2025-03-05 01:11:55
47    | 87080      | en.wikipedia.org/wiki/RTLinux            | good            | good                 | Match        | 2025-03-05 01:13:00
48    | 546499     | tercumemerkezi.az/deamo/                 | bad             | good                 | Not Match    | 2025-03-05 01:14:03
49    | 60061      | www.isical.ac.in/~uma/                   | good            | good                 | Match        | 2025-03-05 01:15:06
50    | 512408     | rated.republicoftaste.com/6t8os/lv-pne1_ | bad             | good                 | Not Match    | 2025-03-05 01:16:09
51    | 344624     | gazillionmovies.com/Actor/P/Pe/PeterMcRo | good            | good                 | Match        | 2025-03-05 01:17:11
52    | 16348      | tr-tof.likeme.c.pl/?id=116901&amp;c=1    | bad             | good                 | Not Match    | 2025-03-05 01:18:13
53    | 161170     | conservapedia.com/Roman_Catholic_Church  | good            | good                 | Match        | 2025-03-05 01:19:19
54    | 292275     | bizjournals.com/memphis/stories/2010/03/ | good            | good                 | Match        | 2025-03-05 01:20:22
55    | 66784      | tools.ietf.org/html/rfc841               | good            | good                 | Match        | 2025-03-05 01:21:25
56    | 545201     | bookletta.com/nsb6sxsg                   | bad             | good                 | Not Match    | 2025-03-05 01:22:28
57    | 9580       | pastehtml.com/view/b2fefdved.html        | bad             | good                 | Not Match    | 2025-03-05 01:23:30
58    | 147436     | ballerwives.com/category/rasheed-wallace | good            | good                 | Match        | 2025-03-05 01:24:34
59    | 384528     | maplandia.com/india/andhra-pradesh/hyder | good            | good                 | Match        | 2025-03-05 01:25:37
60    | 200625     | instantprospeaker.com/testimonial/       | good            | good                 | Match        | 2025-03-05 01:26:39
61    | 347417     | gorillavsbear.net/2010/12/22/mp3-another | good            | good                 | Match        | 2025-03-05 01:27:41
62    | 136751     | manu-chaput.net/webcalendar/docs/taxe    | bad             | good                 | Not Match    | 2025-03-05 01:28:43
